from /features/dashboard_widget.feature

Background: Data has been added to the database

  Given the following feedback exists:
  |date       |feedback                      |product         |subcategory              |feedback_category|sentiment   |sentiment_score|source                  |
  |01/01/2024 |Great product!                |Investments     |Home Loan/Mortgage       |Others           |Frustrated  |0.2            |Product Survey          |
  |02/01/2024 |Not satisfied                 |Unsecured Loans |compliments              |Process Related  |Unsatisfied |1.7            |Call Centre             |
  |03/01/2024 |Average experience            |Others          |customer service issues  |application      |Unsatisfied |2.5            |Social Media            |
  |04/01/2024 |Excellent service             |DBS Treasure    |application process      |Fee Related      |Satisfied   |4.1            |Problem Solution Survey |
  |05/01/2024 |Could be better               |Secured Loans   |Others                   |Staff Related    |Neutral     |2.9            |Social Media            |
  |06/01/2024 |Loved the features!           |DBS Treasure    |Others                   |application      |Excited     |4.7            |Product Survey          |
  |07/01/2024 |Disappointed with the quality |Investments     |compliments              |fee Related      |Unsatisfied |1.3            |Call Centre             |
  |08/01/2024 |Satisfactory performance      |Others          |Home Loan/Mortgage       |process Related  |Satisfied   |3.6            |Problem Solution Survey |
  |09/01/2024 |Amazing user experience       |Others          |compliments              |application      |Excited     |4.9            |Social Media            |
  |10/01/2024 |Needs improvement             |Unsecured Loans |application process      |Others           |Unsatisfied |2.1            |Product Survey          |
  Then 10 seed feedback should exist
